2019-08-28 19:58:29.945 INFO  --- [StartupInfoLogger.java:50][restartedMain] - Starting PersonalFrameApplication on DESKTOP-KCB14FF with PID 74736 (E:\workOnly\Blog\personalBoke\personal\frame\target\classes started by Dong in E:\workOnly\Blog\personalBoke\personal)
2019-08-28 19:58:30.028 INFO  --- [SpringApplication.java:679][restartedMain] - The following profiles are active: dev
2019-08-28 19:58:38.210 WARN  --- [ClassPathMapperScanner.java:239][restartedMain] - Skipping MapperFactoryBean with name 'visitsDao' and 'com.jwBlog.monitor.dao.VisitsDao' mapperInterface. Bean already defined with the same name!
2019-08-28 19:58:38.210 WARN  --- [ClassPathMapperScanner.java:239][restartedMain] - Skipping MapperFactoryBean with name 'dictionaryDao' and 'com.jwBlog.basic.dao.DictionaryDao' mapperInterface. Bean already defined with the same name!
2019-08-28 19:58:38.210 WARN  --- [ClassPathMapperScanner.java:239][restartedMain] - Skipping MapperFactoryBean with name 'logDao' and 'com.jwBlog.logging.dao.LogDao' mapperInterface. Bean already defined with the same name!
2019-08-28 19:58:38.210 WARN  --- [ClassPathMapperScanner.java:239][restartedMain] - Skipping MapperFactoryBean with name 'securityModuleDao' and 'com.jwBlog.security.dao.SecurityModuleDao' mapperInterface. Bean already defined with the same name!
2019-08-28 19:58:38.213 WARN  --- [ClassPathMapperScanner.java:239][restartedMain] - Skipping MapperFactoryBean with name 'securityPermissionDao' and 'com.jwBlog.security.dao.SecurityPermissionDao' mapperInterface. Bean already defined with the same name!
2019-08-28 19:58:38.215 WARN  --- [ClassPathMapperScanner.java:239][restartedMain] - Skipping MapperFactoryBean with name 'securityRoleDao' and 'com.jwBlog.security.dao.SecurityRoleDao' mapperInterface. Bean already defined with the same name!
2019-08-28 19:58:38.215 WARN  --- [ClassPathMapperScanner.java:239][restartedMain] - Skipping MapperFactoryBean with name 'securityRoleModuleDao' and 'com.jwBlog.security.dao.SecurityRoleModuleDao' mapperInterface. Bean already defined with the same name!
2019-08-28 19:58:38.215 WARN  --- [ClassPathMapperScanner.java:239][restartedMain] - Skipping MapperFactoryBean with name 'securityRolePermissionDao' and 'com.jwBlog.security.dao.SecurityRolePermissionDao' mapperInterface. Bean already defined with the same name!
2019-08-28 19:58:38.215 WARN  --- [ClassPathMapperScanner.java:239][restartedMain] - Skipping MapperFactoryBean with name 'securityUserDao' and 'com.jwBlog.security.dao.SecurityUserDao' mapperInterface. Bean already defined with the same name!
2019-08-28 19:58:38.216 WARN  --- [ClassPathMapperScanner.java:239][restartedMain] - Skipping MapperFactoryBean with name 'securityUserRoleDao' and 'com.jwBlog.security.dao.SecurityUserRoleDao' mapperInterface. Bean already defined with the same name!
2019-08-28 19:58:38.216 WARN  --- [ClassPathMapperScanner.java:239][restartedMain] - Skipping MapperFactoryBean with name 'baseDao' and 'com.jwBlog.base.dao.BaseDao' mapperInterface. Bean already defined with the same name!
2019-08-28 19:58:38.217 WARN  --- [ClassPathMapperScanner.java:166][restartedMain] - No MyBatis mapper was found in '[com.jwBlog.*.dao]' package. Please check your configuration.
2019-08-28 19:58:53.838 INFO  --- [DruidDataSource.java:930][restartedMain] - {dataSource-1} inited
